Image,Class_ID,Object,Confidence,X_center,Y_center,Width,Height
pexels-photo-12900865_webp.rf.bd899e0e6fef60f7fe30dc15edbf65fe,1,Cup,0.409363,0.156352,0.532573,0.309446,0.140065
31Rsqgvl-tL_webp.rf.0642d6d57a77935d175434c7a857ccdf,1,Cup,0.296197,0.984528,0.583062,0.0309446,0.114007
31Rsqgvl-tL_webp.rf.0642d6d57a77935d175434c7a857ccdf,1,Cup,0.641838,0.635993,0.270358,0.724756,0.433225
bottled-juice-on-supermarket-shelves_webp.rf.0971fd5f5e2440c04cd3fb7d199175c0,0,Bottle,0.518092,0.535831,0.472313,0.928339,0.680782
plastic-bottles-for-recycle_webp.rf.de3bf52f63033f40397049f55a8681bd,0,Bottle,0.40692,0.916124,0.197883,0.154723,0.0928339
plastic-bottles-for-recycle_webp.rf.de3bf52f63033f40397049f55a8681bd,0,Bottle,0.72573,0.723127,0.34202,0.553746,0.208469
plastic-bottles-for-recycle_webp.rf.de3bf52f63033f40397049f55a8681bd,0,Bottle,0.821966,0.733713,0.160423,0.506515,0.232899
31Rsqgvl-tL_webp.rf.bddac8c3317d733891ca2a71780da4e6,1,Cup,0.493592,0.267101,0.27443,0.514658,0.457655
WhatsApp_Image_2024-10-31_at_10-39-09_AM_webp.rf.429b080df61d6901fd4a015836020dac,1,Cup,0.297785,0.964169,0.619707,0.0684039,0.395765
WhatsApp_Image_2024-10-31_at_10-39-09_AM_webp.rf.429b080df61d6901fd4a015836020dac,1,Cup,0.641845,0.247557,0.651466,0.478827,0.488599
WhatsApp_Image_2024-10-31_at_10-39-09_AM_webp.rf.429b080df61d6901fd4a015836020dac,1,Cup,0.682508,0.690554,0.668567,0.394137,0.36645
HDCANPLAN1LTR_1_2d5968ec-ebcc-4965-8692-62aa0e66bda5_1500x_webp.rf.2b7c52d7c4e8d67d54988205b9f4bc9f,0,Bottle,0.934738,0.871336,0.508958,0.257329,0.982085
WhatsApp_Image_2024-10-31_at_10-39-09_AM_webp.rf.15579eec352f4ffcc102a6321ecc9785,1,Cup,0.686593,0.187296,0.637622,0.361564,0.561889
WhatsApp_Image_2024-10-31_at_10-39-09_AM_webp.rf.15579eec352f4ffcc102a6321ecc9785,1,Cup,0.801087,0.661238,0.508958,0.273616,0.438111
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.cb4913755c59bb91fd08f9c509902851,1,Cup,0.722053,0.93241,0.712541,0.135179,0.271987
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.cb4913755c59bb91fd08f9c509902851,1,Cup,0.784606,0.334691,0.710912,0.298046,0.291531
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.cb4913755c59bb91fd08f9c509902851,1,Cup,0.80548,0.933225,0.29316,0.13355,0.260586
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.cb4913755c59bb91fd08f9c509902851,1,Cup,0.814195,0.634365,0.285831,0.210098,0.2557
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.cb4913755c59bb91fd08f9c509902851,1,Cup,0.872375,0.672638,0.718241,0.296417,0.289902
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.cb4913755c59bb91fd08f9c509902851,1,Cup,0.913485,0.242671,0.285831,0.296417,0.2557
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.a935cea3ccd34c0984d5525534f89d39,1,Cup,0.45602,0.70684,0.704397,0.276873,0.216612
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.a935cea3ccd34c0984d5525534f89d39,1,Cup,0.746662,0.0407166,0.286645,0.0814332,0.257329
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.a935cea3ccd34c0984d5525534f89d39,1,Cup,0.789398,0.717427,0.284202,0.311075,0.232899
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.a935cea3ccd34c0984d5525534f89d39,1,Cup,0.831845,0.0781759,0.715798,0.156352,0.285016
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.a935cea3ccd34c0984d5525534f89d39,1,Cup,0.872346,0.364821,0.708469,0.306189,0.254072
realistic-mug-mock-up-vector-template-easy-to-change-colors_webp.rf.a935cea3ccd34c0984d5525534f89d39,1,Cup,0.926886,0.361564,0.285831,0.309446,0.2557
plastic-bottles-for-recycle_webp.rf.a4ca28ae7ee0471e52b8d3efa73ea694,0,Bottle,0.35119,0.229642,0.584691,0.459283,0.459283
plastic-bottles-for-recycle_webp.rf.a4ca28ae7ee0471e52b8d3efa73ea694,0,Bottle,0.563376,0.105049,0.307003,0.210098,0.187296
plastic-bottles-for-recycle_webp.rf.a4ca28ae7ee0471e52b8d3efa73ea694,0,Bottle,0.650288,0.23127,0.175081,0.446254,0.262215
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.271824,0.251629,0.151466,0.128664,0.198697
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.290697,0.631108,0.0993485,0.0960912,0.198697
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.331828,0.535831,0.109121,0.123778,0.201954
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.478434,0.441368,0.117264,0.140065,0.218241
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.490323,0.336319,0.136808,0.0993485,0.201954
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.524678,0.73127,0.0936482,0.117264,0.187296
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.576936,0.680782,0.80456,0.110749,0.322476
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.584756,0.855049,0.835505,0.14658,0.32899
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.598403,0.72557,0.821661,0.125407,0.343648
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.680534,0.954397,0.882736,0.0846906,0.234528
bottled-juice-on-supermarket-shelves_webp.rf.a8b10efeb527f9d2271a971bbce4d39c,0,Bottle,0.745704,0.574919,0.792345,0.107492,0.301303
HDCANPLAN1LTR_1_2d5968ec-ebcc-4965-8692-62aa0e66bda5_1500x_webp.rf.54881c9207d9b3801a2508b37a14d9ac,0,Bottle,0.908591,0.122964,0.508958,0.242671,0.982085
ai-generated-8854229_640_webp.rf.1dbd91046fb7cbe2501a16963a2cb30e,0,Bottle,0.857014,0.34202,0.545603,0.355049,0.628664
